"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Verify 100% safe & secure and Powered by Stashfin are displayed","Stashfin Web Automation Suite","Fri Jul 11 08:30:43 IST 2025","skipped","Fri Jul 11 08:30:43 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC05_verifySafeSecureAndPoweredByDisplayed"
"","1","Verify Just a few more details to proceed page accessibility","Stashfin Web Automation Suite","Fri Jul 11 08:30:01 IST 2025","skipped","Fri Jul 11 08:30:01 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC21_verifyPersonalDetailsPageAccessibility"
"","1","Test continue button functionality","Stashfin Web Automation Suite","Fri Jul 11 08:29:55 IST 2025","skipped","Fri Jul 11 08:29:55 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC14_testContinueButtonFunctionality"
"","1","Test Father's Name input functionality","Stashfin Web Automation Suite","Fri Jul 11 08:29:48 IST 2025","skipped","Fri Jul 11 08:29:48 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC07_testFathersNameInput"
"","1","Verify UPI Auto Pay benefits are displayed","Stashfin Web Automation Suite","Fri Jul 11 08:30:41 IST 2025","skipped","Fri Jul 11 08:30:41 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC03_verifyUPIAutoPayBenefitsDisplayed"
"","1","Test confirm details button functionality","Stashfin Web Automation Suite","Fri Jul 11 08:32:17 IST 2025","skipped","Fri Jul 11 08:32:17 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC18_testConfirmDetailsButtonFunctionality"
"","0","setUp","Stashfin Web Automation Suite","Fri Jul 11 08:29:02 IST 2025","failed","Fri Jul 11 08:29:02 IST 2025","testClassPool.JustAFewMoreDetailsToProccedTest","Stashfin Web Test Run","testClassPool.JustAFewMoreDetailsToProccedTest","setUp"
"","0","Verify mandate setup and info texts are displayed","Stashfin Web Automation Suite","Fri Jul 11 08:30:42 IST 2025","skipped","Fri Jul 11 08:30:42 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC04_verifyMandateSetupAndInfoTextsDisplayed"
"","1","Verify radio buttons are visible","Stashfin Web Automation Suite","Fri Jul 11 08:29:45 IST 2025","skipped","Fri Jul 11 08:29:45 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC03_verifyRadioButtonsVisible"
"Runs the full loan journey from start to finish with a fresh mobile number, validating all major checkpoints.","41845","Sanity: Complete Loan Journey in one go","Single Test Suite","Fri Jul 11 10:26:13 IST 2025","failed","Fri Jul 11 10:26:54 IST 2025","SanityTest.LoanJourneySanityTest","Single Test","SanityTest.LoanJourneySanityTest","testFullLoanJourneySanity"
"","1","Verify never miss due date benefit text","Stashfin Web Automation Suite","Fri Jul 11 08:30:47 IST 2025","skipped","Fri Jul 11 08:30:47 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC10_verifyNeverMissDueDateBenefitText"
"","2","Verify mandate failure triggers retry and user is redirected to UPI mandate screen","Stashfin Web Automation Suite","Fri Jul 11 08:30:50 IST 2025","skipped","Fri Jul 11 08:30:50 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC15_verifyMandateFailureTriggersRetry"
"","1","Test continue button functionality","Stashfin Web Automation Suite","Fri Jul 11 08:32:14 IST 2025","skipped","Fri Jul 11 08:32:14 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC15_testContinueButtonFunctionality"
"","1","Verify error messages for required fields","Stashfin Web Automation Suite","Fri Jul 11 08:29:56 IST 2025","skipped","Fri Jul 11 08:29:56 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC16_verifyErrorMessagesForRequiredFields"
"","0","setUp","Stashfin Web Automation Suite","Fri Jul 11 08:30:40 IST 2025","failed","Fri Jul 11 08:30:40 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","setUp"
"","3","Test House/Flat No input functionality","Stashfin Web Automation Suite","Fri Jul 11 08:29:49 IST 2025","skipped","Fri Jul 11 08:29:49 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC08_testHouseFlatNoInput"
"","1","Verify all input fields are visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:04 IST 2025","skipped","Fri Jul 11 08:32:04 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC04_verifyAllInputFieldsVisible"
"","2","Test cross icon functionality","Stashfin Web Automation Suite","Fri Jul 11 08:29:55 IST 2025","skipped","Fri Jul 11 08:29:55 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC15_testCrossIconFunctionality"
"","1","Verify EMI debits benefit text","Stashfin Web Automation Suite","Fri Jul 11 08:30:46 IST 2025","skipped","Fri Jul 11 08:30:46 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC09_verifyEMIDebitsBenefitText"
"","1","Test PIN Code input functionality","Stashfin Web Automation Suite","Fri Jul 11 08:29:52 IST 2025","skipped","Fri Jul 11 08:29:52 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC11_testPinCodeInput"
